TimeStamp	FrameNumber	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
3450.460428	 2062399	-0.070845	0.000000	-0.097193	35.881035	749.098022	-39.858223	72.806763	-18.755341	-53.069633	0.385301	0.000000	-2.563480	1.973865	8.718766	12.555109	22.350380	3.644999	3.359345
3450.462107	 2062400	-0.070841	0.000000	-0.097179	35.868309	749.095825	-39.871140	72.796501	-18.753981	-53.066597	0.385278	0.000000	-2.560658	1.971348	8.726619	12.553627	22.345888	3.654489	3.362175
3450.463753	 2062401	-0.070827	0.000000	-0.097122	35.811367	749.099304	-39.928745	72.754372	-18.740358	-53.056587	0.385565	0.000000	-2.550561	1.967632	8.751066	12.544323	22.320126	3.691354	3.374105
3450.465411	 2062402	-0.070804	0.000000	-0.097005	35.687325	749.141724	-40.056347	72.670532	-18.691849	-53.042404	0.386948	0.000000	-2.527766	1.978388	8.799065	12.506327	22.241974	3.762237	3.404777
3450.467107	 2062403	-0.070780	0.000000	-0.096848	35.509872	749.277283	-40.243587	72.565941	-18.586205	-53.033600	0.389725	0.000000	-2.484506	2.020029	8.888474	12.395324	22.083469	3.860239	3.464063
3450.468748	 2062404	-0.070768	0.000000	-0.096709	35.337891	749.546448	-40.427074	72.488075	-18.420879	-53.043610	0.393295	0.000000	-2.424980	2.089322	9.009959	12.173073	21.848972	3.973591	3.543572
3450.470412	 2062405	-0.070785	0.000000	-0.096607	35.214275	749.996948	-40.535744	72.454613	-18.178658	-53.088345	0.397642	0.000000	-2.358546	2.169423	9.122322	11.794339	21.515411	4.111333	3.627419
3450.472086	 2062406	-0.070858	0.000000	-0.096509	35.157288	750.678528	-40.484287	72.447594	-17.833620	-53.191853	0.402867	0.000000	-2.299868	2.228400	9.153825	11.231951	21.052591	4.271530	3.687773
3450.473750	 2062407	-0.071025	0.000000	-0.096360	35.150810	751.661133	-40.218323	72.429840	-17.359200	-53.386456	0.408581	0.000000	-2.262677	2.248872	9.037137	10.480141	20.448122	4.430037	3.692402
3450.475412	 2062408	-0.071318	0.000000	-0.096120	35.184437	753.021362	-39.714897	72.380783	-16.735270	-53.703655	0.413604	0.000000	-2.252622	2.234633	8.750646	9.537146	19.711899	4.550734	3.619302
3450.477083	 2062409	-0.071761	0.000000	-0.095792	35.267109	754.785217	-38.980331	72.302231	-15.963869	-54.164364	0.416111	0.000000	-2.270742	2.183272	8.311996	8.427382	18.874397	4.602221	3.458715
3450.478746	 2062410	-0.072349	0.000000	-0.095366	35.417416	756.889648	-38.064106	72.181648	-15.087988	-54.760403	0.414838	0.000000	-2.323097	2.073737	7.738868	7.234224	17.978144	4.578637	3.210380
3450.480414	 2062411	-0.073049	0.000000	-0.094773	35.652317	759.288757	-37.018097	71.960411	-14.148857	-55.465115	0.410353	0.000000	-2.430159	1.884950	7.014973	6.053736	17.047499	4.492286	2.878615
3450.482095	 2062412	-0.073814	0.000000	-0.093912	35.958733	761.960632	-35.908775	71.556938	-13.172655	-56.243530	0.404090	0.000000	-2.632241	1.622404	6.119261	4.985464	16.107368	4.346842	2.472733
3450.483751	 2062413	-0.074585	0.000000	-0.092748	36.288658	764.786133	-34.854591	70.932579	-12.203292	-57.041878	0.396824	0.000000	-2.981253	1.336960	5.101083	4.130616	15.207620	4.138690	2.024234
3450.485418	 2062414	-0.075348	0.000000	-0.091272	36.615067	767.726074	-33.917023	70.071915	-11.252353	-57.846752	0.387344	0.000000	-3.564569	1.075967	4.025638	3.512511	14.349665	3.857237	1.559305
3450.487083	 2062415	-0.076072	0.000000	-0.089541	36.920544	770.636536	-33.160065	69.003471	-10.376846	-58.624096	0.372481	0.000000	-4.506138	0.863914	3.006399	3.151750	13.547251	3.508606	1.119827
3450.488749	 2062416	-0.076739	0.000000	-0.087608	37.205742	773.415710	-32.613266	67.757339	-9.627916	-59.350780	0.346748	0.000000	-6.050851	0.687022	2.113667	3.031910	12.789481	3.108781	0.732910
3450.490416	 2062417	-0.077329	0.000000	-0.085516	37.469643	776.005249	-32.277870	66.360786	-9.040164	-60.007839	0.299804	0.000000	-8.695429	0.512170	1.385403	3.108192	12.046669	2.683057	0.415349
3450.492086	 2062418	-0.077834	0.000000	-0.083299	37.692131	778.401855	-32.128990	64.840324	-8.613954	-60.585979	0.207820	0.000000	-13.528247	0.314486	0.833418	3.300179	11.274687	2.257855	0.173201
3450.493749	 2062419	-0.078255	0.000000	-0.081027	37.844654	780.613159	-32.135536	63.250404	-8.323979	-61.086891	0.017789	0.000000	-22.802912	0.107799	0.457657	3.502895	10.435922	1.852397	0.008141
3450.495418	 2062420	-0.078611	0.000000	-0.078761	37.928864	782.672729	-32.270267	61.643982	-8.139039	-61.526566	-0.285526	0.000000	-35.316875	-0.066558	0.268593	3.622383	9.485871	1.471526	-0.076690
3450.497081	 2062421	-0.078911	0.000000	-0.076614	37.980465	784.571533	-32.500870	60.109417	-8.045908	-61.911442	-0.289509	0.000000	-30.273699	-0.182324	0.277647	3.578272	8.405416	1.134091	-0.080382
3450.498751	 2062422	-0.079168	0.000000	-0.074644	38.042065	786.339050	-32.787495	58.695526	-8.037482	-62.252598	-0.036184	0.000000	-15.874580	-0.257536	0.451717	3.312956	7.170814	0.858434	-0.016345
3450.500416	 2062423	-0.079387	0.000000	-0.072875	38.134556	788.004639	-33.096489	57.426144	-8.101274	-62.557259	0.126673	0.000000	-8.053997	-0.323733	0.718229	2.810751	5.784611	0.657423	0.090980
3450.502085	 2062424	-0.079587	0.000000	-0.071247	38.260712	789.650269	-33.426601	56.259953	-8.205773	-62.845654	0.215134	0.000000	-4.194726	-0.400847	1.011614	2.086413	4.243442	0.527901	0.217632
3450.503752	 2062425	-0.079793	0.000000	-0.069687	38.406860	791.335815	-33.797577	55.146107	-8.308872	-63.142883	0.267826	0.000000	-1.998534	-0.485949	1.291316	1.180278	2.580739	0.457588	0.345849
3450.505411	 2062426	-0.080032	0.000000	-0.068129	38.563046	793.080994	-34.231590	54.032158	-8.385280	-63.472183	0.300219	0.000000	-0.557202	-0.562909	1.545884	0.155430	0.861370	0.424725	0.464104
3450.507085	 2062427	-0.080323	0.000000	-0.066513	38.760906	794.881714	-34.748737	52.870022	-8.437679	-63.846924	0.316924	0.000000	0.482361	-0.623793	1.782624	-0.918122	-0.859868	0.411434	0.564957
3450.508748	 2062428	-0.080651	0.000000	-0.064837	39.032936	796.666199	-35.345192	51.653553	-8.478159	-64.252075	0.321362	0.000000	1.252383	-0.673536	1.975398	-1.923877	-2.473955	0.415497	0.634818
3450.510418	 2062429	-0.081007	0.000000	-0.063016	39.374386	798.449890	-36.024139	50.315304	-8.513039	-64.679649	0.318754	0.000000	1.903062	-0.722275	2.068838	-2.780495	-3.937128	0.441212	0.659451
3450.512078	 2062430	-0.081374	0.000000	-0.060990	39.739574	800.234558	-36.770573	48.806599	-8.534381	-65.118553	0.313154	0.000000	2.593450	-0.767980	2.007014	-3.414037	-5.205091	0.482032	0.628504
3450.513744	 2062431	-0.081755	0.000000	-0.058713	40.083607	802.040039	-37.575161	47.090534	-8.528358	-65.571144	0.304435	0.000000	3.513391	-0.794558	1.786685	-3.797637	-6.277325	0.518943	0.543930
3450.515412	 2062432	-0.082145	0.000000	-0.056235	40.387684	803.834839	-38.399193	45.203632	-8.490479	-66.031303	0.286577	0.000000	4.818995	-0.783105	1.482167	-3.933028	-7.142557	0.531089	0.424755
3450.517079	 2062433	-0.082523	0.000000	-0.053660	40.673161	805.557922	-39.179401	43.225998	-8.432497	-66.477272	0.251082	0.000000	6.551570	-0.739031	1.190554	-3.857563	-7.799998	0.507046	0.298926
3450.518744	 2062434	-0.082859	0.000000	-0.051083	40.976143	807.155151	-39.854523	41.232197	-8.363807	-66.879967	0.193615	0.000000	8.731048	-0.691465	0.947783	-3.630538	-8.275141	0.449585	0.183505
3450.520415	 2062435	-0.083135	0.000000	-0.048545	41.314133	808.625671	-40.384613	39.254642	-8.270957	-67.225060	0.109681	0.000000	11.954877	-0.669030	0.721640	-3.320950	-8.627112	0.370432	0.079150
3450.522083	 2062436	-0.083357	0.000000	-0.046092	41.666115	809.992493	-40.745964	37.334309	-8.124102	-67.518456	-0.041336	0.000000	19.095118	-0.684596	0.467782	-3.001595	-8.932350	0.279965	-0.019336
3450.523750	 2062437	-0.083548	0.000000	-0.043792	42.005650	811.276855	-40.941608	35.527622	-7.901190	-67.780396	-0.533787	0.000000	45.747425	-0.722982	0.202668	-2.741944	-9.271557	0.180352	-0.108182
3450.525413	 2062438	-0.083720	0.000000	-0.041759	42.331097	812.453735	-41.001896	33.926979	-7.608635	-68.018990	-9.476266	0.000000	550.532104	-0.751979	0.017609	-2.596419	-9.694473	0.078508	-0.166870
3450.527084	 2062439	-0.083870	0.000000	-0.040086	42.664665	813.476501	-40.982193	32.609352	-7.274825	-68.225960	9.128277	0.000000	-527.892273	-0.753599	-0.019333	-2.584224	-10.205695	-0.003157	-0.176476
3450.528750	 2062440	-0.083978	0.000000	-0.038840	43.016769	814.295837	-40.941750	31.627144	-6.941871	-68.383011	-1.513251	0.000000	121.354469	-0.733156	0.088729	-2.693370	-10.767695	-0.039775	-0.134270
3450.530411	 2062441	-0.084034	0.000000	-0.037984	43.374035	814.919128	-40.938633	30.953577	-6.637315	-68.480553	-0.155441	0.000000	37.202950	-0.706591	0.304769	-2.888830	-11.338295	-0.021998	-0.047374
3450.532080	 2062442	-0.084037	0.000000	-0.037434	43.709740	815.399536	-41.037849	30.523499	-6.368086	-68.523766	0.128815	0.000000	20.169834	-0.683318	0.589523	-3.124579	-11.890578	0.045232	0.075939
3450.533746	 2062443	-0.083997	0.000000	-0.037105	44.009521	815.789124	-41.303543	30.269773	-6.143305	-68.523895	0.247510	0.000000	13.570809	-0.663980	0.912897	-3.349149	-12.388747	0.143507	0.225951
3450.535414	 2062444	-0.083920	0.000000	-0.036920	44.289669	816.103455	-41.784191	30.130198	-5.987928	-68.487511	0.312553	0.000000	10.114457	-0.641676	1.262623	-3.525808	-12.770750	0.249919	0.394637
3450.537079	 2062445	-0.083811	0.000000	-0.036828	44.574928	816.316162	-42.486507	30.062883	-5.939878	-68.416397	0.352517	0.000000	8.018434	-0.604033	1.615033	-3.631192	-12.950031	0.346570	0.569327
3450.538751	 2062446	-0.083679	0.000000	-0.036763	44.878696	816.412964	-43.377247	30.013857	-6.022228	-68.316833	0.378077	0.000000	6.629016	-0.552329	1.940122	-3.648807	-12.861097	0.430478	0.733516
3450.540412	 2062447	-0.083548	0.000000	-0.036638	45.180992	816.435425	-44.393028	29.912355	-6.225784	-68.211632	0.391290	0.000000	5.694911	-0.499804	2.191930	-3.573675	-12.482848	0.502730	0.857680
3450.542080	 2062448	-0.083441	0.000000	-0.036394	45.451912	816.459778	-45.489578	29.714128	-6.515313	-68.126091	0.393430	0.000000	5.084590	-0.445655	2.325603	-3.417162	-11.824738	0.553518	0.914963
3450.543763	 2062449	-0.083370	0.000000	-0.036036	45.678093	816.539307	-46.609341	29.424824	-6.849900	-68.075050	0.387382	0.000000	4.704799	-0.374423	2.319875	-3.206232	-10.914548	0.561565	0.898678
3450.545418	 2062450	-0.083335	0.000000	-0.035627	45.880672	816.688232	-47.659023	29.095751	-7.190691	-68.058449	0.376950	0.000000	4.507178	-0.272644	2.180029	-2.989061	-9.825780	0.514161	0.821762
3450.547079	 2062451	-0.083322	0.000000	-0.035231	46.109646	816.900269	-48.591003	28.780235	-7.519432	-68.065437	0.363268	0.000000	4.486199	-0.149569	1.917406	-2.798156	-8.601866	0.416298	0.696531
3450.548750	 2062452	-0.083328	0.000000	-0.034909	46.390610	817.156433	-49.336494	28.526117	-7.802768	-68.091972	0.343675	0.000000	4.734463	-0.048726	1.543263	-2.648961	-7.306524	0.286290	0.530382
3450.550412	 2062453	-0.083361	0.000000	-0.034706	46.710583	817.433105	-49.840820	28.369755	-7.990705	-68.141891	0.308522	0.000000	5.650635	-0.012736	1.066541	-2.545480	-6.026637	0.142443	0.329051
3450.552084	 2062454	-0.083427	0.000000	-0.034655	47.047455	817.728027	-50.096943	28.338644	-8.036655	-68.220375	0.195925	0.000000	9.567717	-0.050049	0.503381	-2.483474	-4.816205	-0.011397	0.098625
3450.553749	 2062455	-0.083521	0.000000	-0.034790	47.377884	818.025024	-50.111904	28.458801	-7.911623	-68.322052	1.880252	0.000000	-52.774025	-0.128802	-0.070662	-2.446235	-3.729136	-0.163263	-0.132863
3450.555410	 2062456	-0.083624	0.000000	-0.035135	47.712147	818.263977	-49.916000	28.749638	-7.623817	-68.426361	0.586245	0.000000	-4.844518	-0.204643	-0.573173	-2.400649	-2.776747	-0.296005	-0.336020
3450.557077	 2062457	-0.083707	0.000000	-0.035701	48.079178	818.349731	-49.555664	29.216129	-7.202326	-68.501755	0.517158	0.000000	-2.039948	-0.262466	-0.961256	-2.313842	-1.960913	-0.391534	-0.497121
3450.558751	 2062458	-0.083741	0.000000	-0.036449	48.475426	818.198608	-49.092205	29.822205	-6.680727	-68.516891	0.499030	0.000000	-1.022628	-0.312230	-1.229323	-2.151790	-1.257140	-0.429150	-0.613468
3450.560413	 2062459	-0.083706	0.000000	-0.037275	48.856087	817.788452	-48.592686	30.482998	-6.092236	-68.453529	0.493646	0.000000	-0.456407	-0.364826	-1.378920	-1.894898	-0.629348	-0.400525	-0.680699
